Comment,Designator,Footprint,LCSC Part Number,MPN,MFG
"10uF 10V","C1,C2",0805,C32635,"",""
"YELLOW","LED1","LED_0603_1608Metric",C965798,"XL-1608SURC-04","XINGLIGHT"
"5.1K 1%","R3,R4,R2,R1,R6,R5",0402,C105872,"RC0402FR-075K1L","YAGEO"
"IS25WP016D-JULE-TR","U4","USON-8_L3.0-W2.0-P0.50-BL-EP_IS25LP080D",C2976734,"IS25WP016D-JULE-TR","ISSI(Integrated Silicon Solution)"
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",C2988369,"GT-USB-7010ASV","G-Switch"
".1uF","C4,C3",0402,C100072,"CL05A104KA5NNNC","Samsung Electro-Mechanics"
"USBLC6-2P6","U3","SOT-666",C15999,"USBLC6-2P6","STMicroelectronics"
"WPM2093-3/TR","Q1","SOT-723_L1.2-W0.8-P0.80-LS1.2-BR",C2931332,"WPM2093-3/TR","WILLSEMI(Will Semicon)"
"69168-106HLF","CN1","CONN-TH_6P-P2.54_69168-X06",C5410110,"69168-106HLF",""
"HT7533-1","U2","SOT-89-3",C14289,"HT7533-1","Holtek Semicon"
"SW_Push","SW1","SW-SMD_4P-L2.5-W1.6-LS2.9_STI-055A12AX",C41398745,"GT-TC194A-H0055-L1",""
"RED","LED2","LED_0603_1608Metric",C965799,"XL-1608SURC-06","XINGLIGHT"
"CH32X035F8U6","U1","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias",C42442062,"CH32X035F8U6","WCH(Jiangsu Qin Heng)"
