Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,Originalref
C1,"10uF 10V",0805,91.400826,-120.179289,0,top,""
LED1,"YELLOW","LED_0603_1608Metric",86.154644,-108.464644,-90,top,""
R3,"5.1K 1%",0402,84.254644,-117.514644,90,top,""
U4,"IS25WP016D-JULE-TR","USON-8_L3.0-W2.0-P0.50-BL-EP_IS25LP080D",92.704644,-114.589644,0,top,""
R4,"5.1K 1%",0402,84.904644,-109.014644,-90,top,""
J1,"USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",80.099644,-115.064644,-90.0,top,""
C4,".1uF",0402,92.004644,-117.164644,180,top,""
U3,"USBLC6-2P6","SOT-666",85.3471,-114.724644,0.0,top,""
C3,".1uF",0402,87.954644,-117.164644,180,top,""
Q1,"WPM2093-3/TR","SOT-723_L1.2-W0.8-P0.80-LS1.2-BR",93.324644,-110.664644,180,top,""
CN1,"69168-106HLF","CONN-TH_6P-P2.54_69168-X06",98.264644,-115.094644,-90,top,""
R2,"5.1K 1%",0402,84.254644,-112.664644,-90,top,""
R1,"5.1K 1%",0402,85.804644,-116.514644,180,top,""
U2,"HT7533-1","SOT-89-3",86.811715,-121.064644,180,top,""
C2,"10uF 10V",0805,91.396182,-122.179289,0,top,""
SW1,"SW_Push","SW-SMD_4P-L2.5-W1.6-LS2.9_STI-055A12AX",89.052447,-108.44798,-90,top,""
R6,"5.1K 1%",0402,92.554644,-112.064644,0,top,""
R5,"5.1K 1%",0402,93.354644,-109.014644,-90,top,""
LED2,"RED","LED_0603_1608Metric",92.054644,-108.464644,-90,top,""
U1,"CH32X035F8U6","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias",89.389287,-114.564644,90,top,""
