Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,Originalref
C18,"100n",0402,125.3125,-108.150499,0,top,""
R1,"1k",0402,123.9,-112.98,90,top,""
CN1,"69168-106HLF","CONN-TH_6P-P2.54_69168-X06",131.13,-109.71,-90,top,""
L1,"3.3u","L_pol_2016",113.075,-104.5505,-90.0,top,""
C1,"10uF 10V",0805,118.684467,-116.100499,0,top,""
C16,"100n",0402,124.9,-102.98,90,top,""
R5,"27",0402,115.2125,-101.400499,0,top,""
C14,"100n",0402,120.55,-101.48,90,top,""
U1,"RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",120.275,-106.5505,90,top,""
R8,"27",0402,112.525,-107.05,90,top,""
C5,"4.7u","C_0402_1005Metric_small_pads",125.85,-105.815,90,top,""
C11,"100n",0402,119.1125,-101.500499,90,top,""
C8,"100n",0402,119.8125,-111.900499,-90,top,""
C6,"4.7u 10V","C_0402_1005Metric_small_pads",115.675,-104.5505,90,top,""
C15,"100n",0402,121.5375,-111.61,-90,top,""
LED2,"YELLOW","LED_0603_1608Metric",126.2,-102.38,-90,top,""
R10,"5.1K 1%",0402,121.9,-101.500499,-90,top,""
U2,"HT7533-1","SOT-89-3",114.134467,-115.262999,180,top,""
R11,"5.1K 1%",0402,126.8,-104.88,-90,top,""
C13,"100n",0402,115.235,-110.03,180,top,""
R2,"5.1K 1%",0402,113.775,-101.85,-90,top,""
C3,"4.7u","C_0402_1005Metric_small_pads",115.2,-102.38,0,top,""
C12,"100n",0402,115.2125,-107.666499,180,top,""
J1,"USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",108.25,-109.28,-90.0,top,""
R7,"27",0402,113.475,-107.05,90,top,""
R4,"5.1K 1%",0402,121.5725,-116.740499,180,top,""
SW1,"SW_Push","SW-SMD_4P-L2.5-W1.6-LS2.9_STI-055A12AX",115.389467,-111.611139,180,top,""
C4,"4.7u 10V","C_0402_1005Metric_small_pads",114.75,-104.58,90,top,""
C17,"100n",0402,117.725,-101.5005,90,top,""
Q2,"WPM2093-3/TR","SOT-723_L1.2-W0.8-P0.80-LS1.2-BR",123.3,-101.58,-90,top,""
R6,"1k",0402,115.2,-109.08,180,top,""
C2,"10uF 10V",0805,118.684467,-114.100499,0,top,""
LED1,"RED","LED_0603_1608Metric",121.45,-114.58,90,top,""
R3,"5.1K 1%",0402,112.825,-101.85,-90,top,""
SW2,"SW_Push","SW-SMD_4P-L2.5-W1.6-LS2.9_STI-055A12AX",125.4,-116.28,0,top,""
Y1,"12MHz","OSC-SMD_4P-L2.0-W1.6-BL_8NE",125.6,-110.68,90,top,""
R9,"27",0402,125.3375,-107.200499,0,top,""
U3,"USBLC6-2P6","SOT-666",112.9975,-109.657544,90.0,top,""
